"","Localidade","N_Infections","n_bird_individuals.x","RiquezaH","PrevalenceH","Especie","n_bird_individuals.y"
"1","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Ammodramus_humeralis",3
"2","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Antilophia_galeata",2
"3","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Arremon_flavirostris",1
"4","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Basileuterus_leucophrys",1
"5","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Camptostoma_obsoletum",4
"6","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Cantorchilus_leucotis",1
"7","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Caprimulgus_maculicaudus",1
"8","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Caprimulgus_parvulus",1
"9","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Coereba_flaveola",2
"10","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Columbina_talpacoti",1
"11","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Crotophaga_ani",5
"12","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Cyclarhis_gujanensis",1
"13","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Elaenia_chiriquensis",43
"14","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Elaenia_cristata",18
"15","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Elaenia_flavogaster",5
"16","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Elaenia_mesoleuca",1
"17","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Elaenia_obscura",1
"18","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Elaenia_sp.",2
"19","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Empidonomus_varius",1
"20","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Euphonia_chlorotica",2
"21","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Furnarius_rufus",2
"22","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Galbula_ruficauda",1
"23","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Geothlypis_velata",1
"24","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Hydropsalis_maculicaudus",1
"25","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Lepidocolaptes_angustirostris",2
"26","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Mimus_saturninus",1
"27","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Myiarchus_swainsoni",8
"28","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Myiodynastes_maculatus",1
"29","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Myiophobus_fasciatus",7
"30","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Neothraupis_fasciata",10
"31","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Pachyramphus_polychopterus",1
"32","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Passer_domesticus",1
"33","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Pitangus_sulphuratus",6
"34","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Rupornis_magnirostris",1
"35","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Schistochlamys_melanopis",1
"36","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Sporophila_leucoptera",3
"37","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Sporophila_nigricollis",1
"38","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Suiriri_suiriri",3
"39","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Synallaxis_frontalis",2
"40","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Tangara_sayaca",1
"41","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Todirostrum_cinereum",2
"42","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Troglodytes_musculus",12
"43","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Turdus_amaurochalinus",1
"44","Aeroporto_de_BSB",10,242,7,0.0413223140495868,"Turdus_leucomelas",14
