"","Lineage_Name","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount","parasiteGenus","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes","Host_Status"
"1","29092",1,1,0,0,0,0,-0.6,-0.6,0,-77.883333,-77.883333,1,"Plasmodium",1,1,1,1,1,1,"R"
"2","ABUCUJ01",1,1,0,0,0,0,-6.716667,-6.716667,0,-77.416667,-77.416667,1,"Haemoproteus",1,1,1,1,1,1,"R"
"3","ADEMEL01",1,1,0,0,0,0,-6.716667,-6.716667,0,-77.416667,-77.416667,1,"Haemoproteus",1,1,1,1,1,1,"R"
"4","AFR025",1,3,66.8931920225239,42.0963043532517,66.8320657007796,58.9774353447936,-5.216667,-4.683333,22.3399777930928,-56.916667,-56.633333,2,"Haemoproteus",1,1,1,1,1,1,"R"
"5","AFR028",1,1,0,0,NA,0,-30.205564,-30.205564,0,-57.495736,-57.495736,1,"Plasmodium",1,1,1,1,1,1,"R"
"6","AFR122",3,1,0,0,0,0,-30.205564,-30.205564,0,-57.495736,-57.495736,1,"Haemoproteus",3,3,1,3,1,1,"R"
"7","AGEBAD02",1,1,0,0,0,0,-16.25,-16.25,0,-56.366667,-56.366667,1,"Haemoproteus",1,1,1,1,1,1,"R"
"8","ALEDIA01",1,1,0,0,0,0,-16.5630651,-16.5630651,0,-45.5308804,-45.5308804,1,"Plasmodium",1,1,1,1,1,1,"R"
"9","AMABRA01",1,1,0,0,-Inf,0,-6.583333,-6.583333,0,-77.55,-77.55,1,"Plasmodium",1,1,1,1,1,1,"R"
"10","ANGAL01",1,1,0,0,NA,0,4.683333,4.683333,0,-73.833333,-73.833333,1,"Plasmodium",1,1,1,1,1,1,"R"
"11","ANIFLA01",2,1,0,0,0,0,4.7,4.7,0,-75.483333,-75.483333,1,"Haemoproteus",2,7,1,2,1,1,"R"
"12","ANIGN01",1,1,0,0,0,0,-3.7,-3.7,0,-46.75,-46.75,1,"Haemoproteus",1,1,1,1,1,1,"R"
"13","ANSOM01",1,1,0,0,0,0,4.7,4.7,0,-75.483333,-75.483333,1,"Haemoproteus",1,1,1,1,1,1,"R"
"14","ARAJAN01",1,3,2106.48532645702,214061.751060691,1964.50758704849,1916.79193127615,-6.583333,10.75,438.827645934111,-79.233333,-73.666667,2,"Plasmodium",1,1,1,1,1,1,"R"
"15","ARBRU01",1,5,4503.10880899305,2405216.78808289,3049.15455144774,3045.37384674072,-29.466667,-1.95,1145.67578104146,-64.716667,-50.166667,4,"Haemoproteus",1,1,1,1,1,1,"R"
"16","ARBRU02",3,1,0,0,NA,0,-9.316667,-9.316667,0,-64.716667,-64.716667,1,"Haemoproteus",3,4,1,2,1,2,"R"
"17","ARRTAC01",5,1,0,0,0,0,-1.95,-1.95,0,-51.6,-51.6,1,"Plasmodium",5,6,2,4,2,2,"R_M"
"18","ARRTAC02",1,1,0,0,0,0,-5.1,-5.1,0,-79.233333,-79.233333,1,"Plasmodium",1,1,1,1,1,1,"R"
"19","ARRTAC05",1,1,0,0,0,0,10.75,10.75,0,-73.666667,-73.666667,1,"Haemoproteus",1,1,1,1,1,1,"R"
"20","ATLBRU01",1,1,0,0,0,0,4.683333,4.683333,0,-73.833333,-73.833333,1,"Haemoproteus",1,1,1,1,1,1,"R"
"21","ATMEL01",1,1,0,0,0,0,-3.7,-3.7,0,-46.75,-46.75,1,"Haemoproteus",1,1,1,1,1,1,"R"
"22","ATPAL02",1,1,0,0,0,0,-0.583333,-0.583333,0,-64.916667,-64.916667,1,"Haemoproteus",1,1,1,1,1,1,"R"
"23","ATTCIN01",1,1,0,0,0,0,-0.583333,-0.583333,0,-64.916667,-64.916667,1,"Plasmodium",1,1,1,1,1,1,"R"
"24","AUTINF01",1,1,0,0,0,0,-0.583333,-0.583333,0,-64.916667,-64.916667,1,"Plasmodium",1,1,1,1,1,1,"R"
"25","AUTINF02",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"26","AUTINF03",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"27","AUTOCH01",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Haemoproteus",1,1,1,1,1,1,"R"
"28","AUTOCH02",1,7,3487.0562752912,1466781.62140176,2079.71943799263,1755.26507099931,-19.566667,-3.7,1296.1284156813,-63.217,-46.75,5,"Plasmodium",1,1,1,1,1,1,"R"
"29","AUTOCH03",1,1,0,0,NA,0,-5.216667,-5.216667,0,-56.916667,-56.916667,1,"Plasmodium",1,1,1,1,1,1,"R"
"30","AUTPAR01",7,8,2515.49294270004,714727.637796906,2092.62714425669,2074.69480523879,-14.06,4.7,556.810700013526,-79.233333,-72.169166,3,"Plasmodium",7,14,1,12,2,2,"R"
"31","AUTRUF01",1,2,453.888706645942,0,453.888706645942,369.08907972579,-19.5907472,-16.2559998,196.631813169808,-43.5049448,-41.011001,1,"Haemoproteus",1,1,1,1,1,1,"R"
"32","BAEBIC02",10,4,3520.6956574114,801903.013431877,3392.60458023935,2641.34884915105,-30.205564,-6.344364,1599.76160360552,-57.495736,-37.152527,4,"Plasmodium",11,22,2,10,1,2,"R_M"
"33","BAFLA01",2,11,3639.34421262821,1341448.69990327,2474.41858067023,1539.9908715051,-19.4724319,-5.5524107,1590.40301539803,-55.327475,-35.103905,6,"Plasmodium",2,4,1,2,2,1,"R"
"34","BAFLA02",4,10,3752.44277058572,1448715.00240163,2513.73181109004,1427.11100634205,-18.4526633,-5.5524107,1632.57345955239,-55.866667,-35.103905,7,"Haemoproteus",4,6,2,3,3,3,"R_PM"
