"","Lineage_Name","Lineage_Genera","n_sites","n_bird_individuals","n_status","riqueza","perlocation","Host_Status","Perlocation"
"1","PADOM09","Plasmodium",39,108,3,46,0.619047619047619,"R_PM_M",0.25
"2","DENPET03","Plasmodium",25,70,3,34,0.396825396825397,"R_PM_M",0.16025641025641
"3","TROAED15","Haemoproteus",17,47,2,11,0.26984126984127,"R_M",0.108974358974359
"4","PADOM11","Plasmodium",16,39,2,22,0.253968253968254,"R_PM",0.102564102564103
"5","TUMIG03","Plasmodium",15,21,3,9,0.238095238095238,"R_PM_M",0.0961538461538461
"6","FURLEU01","Plasmodium",13,17,1,13,0.206349206349206,"R",0.0833333333333332
"7","BAEBIC02","Plasmodium",11,21,2,9,0.174603174603175,"R_M",0.0705128205128207
"8","TROAED20","Haemoproteus",11,45,2,37,0.174603174603175,"R_M",0.0705128205128207
"9","BAFLA03","Plasmodium",10,32,2,18,0.158730158730159,"R_PM",0.0641025641025642
"10","TUAMA01","Plasmodium",10,12,2,4,0.158730158730159,"R_PM",0.0641025641025642
"11","ZOCAP01","Haemoproteus",10,11,1,1,0.158730158730159,"R",0.0641025641025642
"12","BAFLA04","Plasmodium",9,27,1,15,0.142857142857143,"R",0.0576923076923078
"13","CYCYA01","Plasmodium",9,22,1,13,0.142857142857143,"R",0.0576923076923078
"14","PHPAT01","Plasmodium",9,19,3,12,0.142857142857143,"R_PM_M",0.0576923076923078
"15","TACRUB01","Plasmodium",9,19,1,5,0.142857142857143,"R",0.0576923076923078
"16","THAMAE01","Plasmodium",9,26,1,15,0.142857142857143,"R",0.0576923076923078
"17","THACAE01","Plasmodium",8,13,1,10,0.126984126984127,"R",0.0512820512820513
"18","TULEU06","Plasmodium",8,15,1,3,0.126984126984127,"R",0.0512820512820513
"19","AUTPAR01","Plasmodium",7,14,1,12,0.111111111111111,"R",0.0448717948717948
"20","COLPAS04","Haemoproteus",6,15,2,6,0.0952380952380952,"R_PM",0.0384615384615384
"21","GALLUS01","Plasmodium",6,13,1,5,0.0952380952380952,"R",0.0384615384615384
"22","GRW06","Plasmodium",6,8,1,6,0.0952380952380952,"R",0.0384615384615384
"23","MYCAME02","Plasmodium",6,7,2,4,0.0952380952380952,"R_M",0.0384615384615384
"24","MYRMAX01","Plasmodium",6,13,1,8,0.0952380952380952,"R",0.0384615384615384
"25","PACPEC02","Haemoproteus",6,12,2,5,0.0952380952380952,"R_M",0.0384615384615384
"26","PAPOL03","Parahaemoproteus",6,14,2,4,0.0952380952380952,"R_PM",0.0384615384615384
"27","TANIG01","Haemoproteus",6,14,2,6,0.0952380952380952,"R_M",0.0384615384615384
"28","TULEU01","Plasmodium",6,13,2,4,0.0952380952380952,"R_PM",0.0384615384615384
"29","ZOCAP14","Haemoproteus",6,6,1,2,0.0952380952380952,"R",0.0384615384615384
"30","ARRTAC01","Plasmodium",5,6,2,4,0.0793650793650794,"R_M",0.0320512820512821
"31","COLIN05","Plasmodium",5,18,1,7,0.0793650793650794,"R",0.0320512820512821
"32","DIGLAF01","Plasmodium",5,9,1,9,0.0793650793650794,"R",0.0320512820512821
"33","ELALB01","Parahaemoproteus",5,16,2,9,0.0793650793650794,"R_PM",0.0320512820512821
"34","LEPCOR04","Plasmodium",5,8,1,5,0.0793650793650794,"R",0.0320512820512821
"35","LEPRUF02","Haemoproteus",5,5,1,3,0.0793650793650794,"R",0.0320512820512821
"36","MASTR01","Plasmodium",5,7,1,3,0.0793650793650794,"R",0.0320512820512821
"37","MONNIG01","Plasmodium",5,5,1,5,0.0793650793650794,"R",0.0320512820512821
"38","MYITYR01","Plasmodium",5,12,2,5,0.0793650793650794,"R_PM",0.0320512820512821
"39","MYRAXI01","Plasmodium",5,9,1,4,0.0793650793650794,"R",0.0320512820512821
"40","TOFLA01","Plasmodium",5,11,2,3,0.0793650793650794,"R_PM",0.0320512820512821
"41","BAFLA02","Parahaemoproteus",4,6,2,3,0.0634920634920635,"R_PM",0.0256410256410256
"42","CAOBS01","Plasmodium",4,7,1,3,0.0634920634920635,"R",0.0256410256410256
"43","CATUST05","Plasmodium",4,7,2,5,0.0634920634920635,"R_M",0.0256410256410256
"44","COLPIC01","Haemoproteus",4,5,2,2,0.0634920634920635,"R_M",0.0256410256410256
"45","COSQU01","Haemoproteus",4,6,1,2,0.0634920634920635,"R",0.0256410256410256
"46","COTAL01","Haemoproteus",4,9,2,5,0.0634920634920635,"R_M",0.0256410256410256
"47","DENCER02","Parahaemoproteus",4,12,1,8,0.0634920634920635,"R",0.0256410256410256
"48","GEOTRY01","Haemoproteus",4,5,1,1,0.0634920634920635,"R",0.0256410256410256
"49","ICTCAY01","Plasmodium",4,8,1,5,0.0634920634920635,"R",0.0256410256410256
"50","NEOFAS03","Parahaemoproteus",4,33,2,7,0.0634920634920635,"R_PM",0.0256410256410256
"51","NYSMAC01","Parahaemoproteus",4,9,1,5,0.0634920634920635,"R",0.0256410256410256
"52","PHLNIG03","Plasmodium",4,8,1,4,0.0634920634920635,"R",0.0256410256410256
"53","PYLEU01","Plasmodium",4,14,1,2,0.0634920634920635,"R",0.0256410256410256
"54","SPMAG08","Plasmodium",4,4,1,4,0.0634920634920635,"R",0.0256410256410256
"55","TACCRI01","Parahaemoproteus",4,4,1,3,0.0634920634920635,"R",0.0256410256410256
"56","TANICT01","Haemoproteus",4,6,1,6,0.0634920634920635,"R",0.0256410256410256
