"","Lineage_Name","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"1","PADOM09",38,113,3,49,9,7
"2","TARUF02",1,79,3,29,1,1
"3","SocH3",4,77,2,8,3,2
"4","DENPET03",26,71,3,35,7,5
"5","TROAED20",11,53,2,45,1,3
"6","PADOM11",17,50,2,24,5,4
"7","TROAED15",17,48,2,12,1,2
"8","BAFLA03",11,45,3,20,3,3
"9","BAFLA04",10,33,1,17,3,3
"10","NEOFAS03",4,33,2,7,1,2
"11","NEOFAS01",2,26,1,4,1,2
"12","THAMAE01",9,26,1,15,2,2
"13","PHPAT01",9,25,3,14,6,5
"14","THAMB02",3,23,1,1,2,1
"15","BAEBIC02",11,22,2,10,1,2
"16","CYCYA01",9,22,1,13,2,2
"17","TUMIG03",15,21,3,9,5,5
"18","COPIC01",2,19,1,3,2,2
"19","EMPALN02",1,19,3,10,1,1
"20","TACRUB01",9,19,1,5,2,3
"21","COLIN05",5,18,1,7,3,1
"22","CORPIL01",3,17,1,4,1,1
"23","ELALB01",5,17,3,10,3,2
"24","FURLEU01",13,17,1,13,6,6
"25","GLYSPI06",3,16,2,5,2,2
"26","COLPAS04",6,15,2,6,4,3
"27","PAPOL03",6,15,3,5,3,3
"28","TULEU06",8,15,1,3,2,2
"29","AUTPAR01",7,14,1,12,2,2
"30","MYISWA01",2,14,2,8,2,2
"31","MYITYR01",7,14,2,6,4,4
"32","PYLEU01",4,14,1,2,2,1
"33","TANIG01",6,14,2,6,1,3
"34","COLPAS03",3,13,1,3,2,2
"35","GALLUS01",6,13,1,5,2,1
"36","GEOTRI02",3,13,1,9,1,1
"37","MYRMAX01",6,13,1,8,2,2
"38","THACAE01",8,13,1,10,2,3
"39","TUAMA01",10,13,2,5,6,4
"40","TULEU01",6,13,2,4,2,2
"41","DENCER02",4,12,1,8,2,2
"42","PACPEC02",6,12,2,5,2,3
"43","CYPHIR03",2,11,1,1,1,2
"44","LEAMA01",3,11,1,2,2,1
"45","TOFLA01",5,11,2,3,3,3
"46","ZOCAP01",10,11,1,1,4,6
"47","COTAL01",4,10,2,6,2,2
"48","LECOR04",2,10,1,2,2,2
"49","LEPCOR03",3,10,2,7,3,3
"50","MYSWA01",3,10,2,5,1,1
"51","COLPLU01",3,9,3,9,2,2
"52","DIGLAF01",5,9,1,9,1,2
"53","MYRAXI01",5,9,1,4,2,2
"54","MYRMYO01",3,9,1,7,2,2
"55","NYSCHA01",1,9,1,1,1,1
"56","NYSMAC01",4,9,1,5,2,2
"57","NYSMAC03",3,9,2,3,2,3
"58","PAPOL01",2,9,2,9,2,2
"59","THASAT06",2,9,1,7,1,1
"60","UN203",1,9,2,5,1,1
"61","COPIL01",4,8,1,5,1,1
"62","DETUR01",3,8,1,4,2,2
"63","GRW06",6,8,1,6,3,3
"64","ICTCAY01",4,8,1,5,3,3
"65","LEPCOR04",5,8,1,5,2,2
"66","MOLBAD01",1,8,2,4,1,1
"67","PHLNIG03",4,8,1,4,1,1
"68","Plasmodiumjuxtanucleare",3,8,2,7,2,1
"69","SGS1",2,8,1,8,1,1
"70","THAMUR01",4,8,1,4,1,1
"71","ANIFLA01",2,7,1,2,1,1
"72","BAHYP01",4,7,1,5,1,2
"73","CAOBS01",4,7,1,3,2,1
"74","CATUST05",4,7,2,5,2,2
"75","MASTR01",5,7,1,3,3,2
"76","MYCAME02",6,7,2,4,3,3
"77","SUISUI01",1,7,2,2,1,1
"78","SUISUI02",2,7,2,3,1,1
"79","THAMB01",2,7,1,2,2,2
"80","THCAE01",2,7,1,3,2,1
"81","TRMUS01",3,7,1,3,2,3
"82","VOLJAC03",4,7,1,4,4,4
"83","ARRTAC01",5,6,2,4,2,2
"84","BAFLA02",4,6,2,3,3,3
"85","CARUF01",2,6,2,2,1,1
"86","COLIN01",2,6,1,1,1,1
"87","COSQU01",4,6,1,2,1,1
"88","LEVER03",2,6,1,2,2,2
"89","MYRAXI03",3,6,1,1,1,1
"90","PAMIT01",2,6,2,6,2,2
"91","TANCYA01",1,6,1,4,1,1
"92","TANICT01",4,6,1,6,1,2
"93","TANSCH01",2,6,1,2,1,1
"94","THACAE08",3,6,1,3,1,1
"95","THASAT10",4,6,1,3,1,1
