"","Lineage_Name","site","n_sites","n_bird_individuals","n_status.x","riqueza","n_biomas","n_regioes","parasiteGenus","n_status.y","Host_Status"
"1","TARUF02","CLBI-Parnamirim/RN",1,79,3,29,1,1,"Haemoproteus",3,"R_PM_M"
"2","SocH3","ESEC-Serra_Negra_do_Norte/RN",1,69,2,3,1,1,"Haemoproteus",2,"R_PM"
"3","TROAED20","Podocarpus_NP",1,36,1,36,1,1,"Haemoproteus",2,"R_M"
"4","NEOFAS03","Bra1",1,25,2,5,1,1,"Haemoproteus",2,"PM"
"5","NEOFAS01","Gra1",1,23,1,4,1,1,"Plasmodium",1,"R"
"6","BAFLA03","Mata_Seca",1,21,2,8,1,1,"Plasmodium",3,"R_PM_M"
"7","EMPALN02","Esp1",1,19,3,10,1,1,"Haemoproteus",3,"R_PM_M"
"8","PADOM09","Bra1",1,17,2,6,1,1,"Plasmodium",3,"R_PM_M"
"9","COPIC01","ESEC-Serra_Negra_do_Norte/RN",1,16,1,2,1,1,"Haemoproteus",1,"R"
"10","PADOM11","ESEC-Serra_Negra_do_Norte/RN",1,16,2,6,1,1,"Plasmodium",2,"R_PM"
"11","THAMB02","Salto_da_Divisa",1,16,1,1,1,1,"Plasmodium",1,"R"
"12","PHPAT01","ESEC-Serra_Negra_do_Norte/RN",1,14,3,9,1,1,"Plasmodium",3,"R_PM_M"
"13","BAFLA04","CLBI-Parnamirim/RN",1,11,1,7,1,1,"Plasmodium",1,"R"
"14","GLYSPI06","Rond5",1,11,2,5,1,1,"Plasmodium",2,"R_PM"
"15","PADOM09","ESEC-Serra_Negra_do_Norte/RN",1,11,2,8,1,1,"Plasmodium",3,"R_PM_M"
"16","CYPHIR03","Bra1",1,10,1,1,1,1,"Haemoproteus",1,"R"
"17","GEOTRI02","Hual4",1,10,1,7,1,1,"Plasmodium",1,"R"
"18","THAMAE01","Rond1",1,10,1,7,1,1,"Plasmodium",1,"R"
"19","CORPIL01","Ser1",1,9,1,2,1,1,"Plasmodium",1,"R"
"20","ELALB01","Salto_da_Divisa",1,9,2,5,1,1,"Haemoproteus",3,"R_PM_M"
"21","MYISWA01","Bra1",1,9,2,5,1,1,"Haemoproteus",2,"R_PM"
"22","NYSCHA01","Bra1",1,9,1,1,1,1,"Haemoproteus",1,"R"
"23","PYLEU01","Caratinga",1,9,1,2,1,1,"Plasmodium",1,"R"
"24","UN203","CLBI-Parnamirim/RN",1,9,2,5,1,1,"Haemoproteus",2,"R_M"
"25","COLPAS03","Gui2",1,8,1,1,1,1,"Haemoproteus",1,"R"
"26","CYCYA01","Gui2",1,8,1,3,1,1,"Plasmodium",1,"R"
"27","DENPET03","Bra1",1,8,1,3,1,1,"Plasmodium",3,"R_PM_M"
"28","MOLBAD01","Esp1",1,8,2,4,1,1,"Haemoproteus",2,"R_PM"
"29","PAPOL03","ESEC-Serra_Negra_do_Norte/RN",1,8,3,4,1,1,"Haemoproteus",3,"R_PM_M"
"30","TROAED15","Sural",1,8,1,1,1,1,"Haemoproteus",2,"R_M"
"31","COLIN05","Nova_Lima",1,7,1,3,1,1,"Plasmodium",1,"R"
"32","DENPET03","Felixlandia",1,7,2,3,1,1,"Plasmodium",3,"R_PM_M"
"33","PADOM09","Felixlandia",1,7,2,3,1,1,"Plasmodium",3,"R_PM_M"
"34","SUISUI01","Bra1",1,7,2,2,1,1,"Haemoproteus",2,"R_PM"
"35","TACRUB01","Rond4",1,7,1,1,1,1,"Plasmodium",1,"R"
"36","TROAED15","Bellavista",1,7,1,3,1,1,"Haemoproteus",2,"R_M"
"37","TROAED15","Mindo",1,7,1,3,1,1,"Haemoproteus",2,"R_M"
"38","ANIFLA01","Hual4",1,6,1,2,1,1,"Haemoproteus",1,"R"
"39","BAFLA03","Caratinga",1,6,1,4,1,1,"Plasmodium",3,"R_PM_M"
"40","BAFLA04","Mata_Seca",1,6,1,3,1,1,"Plasmodium",1,"R"
"41","COLIN05","Caratinga",1,6,1,2,1,1,"Plasmodium",1,"R"
"42","COLPAS04","Gui2",1,6,1,4,1,1,"Haemoproteus",2,"R_PM"
"43","COLPLU01","Hual5",1,6,2,6,1,1,"Haemoproteus",3,"R_PM_M"
"44","DENPET03","CLBI-Parnamirim/RN",1,6,2,4,1,1,"Plasmodium",3,"R_PM_M"
"45","DENPET03","Gra1",1,6,1,4,1,1,"Plasmodium",3,"R_PM_M"
"46","LEAMA01","Caratinga",1,6,1,1,1,1,"Plasmodium",1,"R"
"47","LECOR04","ESEC-Serra_Negra_do_Norte/RN",1,6,1,2,1,1,"Plasmodium",1,"R"
"48","MYRMAX01","Ina1",1,6,1,6,1,1,"Plasmodium",1,"R"
"49","MYSWA01","Salto_da_Divisa",1,6,1,2,1,1,"Plasmodium",2,"PM"
"50","PACPEC02","Felixlandia",1,6,1,2,1,1,"Haemoproteus",2,"R_M"
"51","PADOM09","Mil1",1,6,3,6,1,1,"Plasmodium",3,"R_PM_M"
"52","PADOM11","Mata_Seca",1,6,1,4,1,1,"Plasmodium",2,"R_PM"
"53","Plasmodiumjuxtanucleare","Chapada_dos_Guimaraes",1,6,2,5,1,1,"Plasmodium",2,"R_PM"
"54","SocH3","CLBI-Parnamirim/RN",1,6,1,5,1,1,"Haemoproteus",2,"R_PM"
"55","SUISUI02","Bra1",1,6,2,3,1,1,"Haemoproteus",2,"R_PM"
"56","TANCYA01","Hual5",1,6,1,4,1,1,"Haemoproteus",1,"R"
"57","TANIG01","Hual3",1,6,1,2,1,1,"Haemoproteus",2,"R_M"
"58","THAMB01","Jequitinhonha",1,6,1,1,1,1,"Plasmodium",1,"R"
"59","TOFLA01","Jequitinhonha",1,6,1,1,1,1,"Plasmodium",2,"R_PM"
"60","TULEU01","Felixlandia",1,6,2,2,1,1,"Plasmodium",2,"R_PM"
"61","TULEU06","Fazenda_St._Maria",1,6,1,1,1,1,"Plasmodium",1,"R"
"62","VIOLI01","Aracruz",1,6,1,1,1,1,"Plasmodium",1,"M"
"63","WILPOE15","Bel1",1,6,1,4,1,1,"Plasmodium",1,"R"
"64","BAEBIC02","Hual4",1,5,1,4,1,1,"Plasmodium",2,"R_M"
"65","CARUF01","Felixlandia",1,5,1,1,1,1,"Haemoproteus",2,"R_PM"
"66","COLIN01","Nova_Lima",1,5,1,1,1,1,"Plasmodium",1,"R"
"67","COLIN11","Nova_Lima",1,5,1,1,1,1,"Plasmodium",1,"R"
"68","DENCER02","Rond1",1,5,1,4,1,1,"Haemoproteus",1,"R"
"69","DENCER02","Xing1",1,5,1,3,1,1,"Haemoproteus",1,"R"
"70","DENPET03","Esp1",1,5,1,4,1,1,"Plasmodium",3,"R_PM_M"
"71","DENPET03","Mil1",1,5,1,5,1,1,"Plasmodium",3,"R_PM_M"
"72","GALLUS01","Brasilandia_de_Minas",1,5,1,2,1,1,"Plasmodium",1,"R"
"73","Haemoproteuserythrogravidus","Fazenda_St._Maria",1,5,2,2,1,1,"Haemoproteus",2,"R_M"
"74","LEVER03","ESEC-Serra_Negra_do_Norte/RN",1,5,1,2,1,1,"Plasmodium",1,"R"
"75","MYISWA01","Mil1",1,5,2,5,1,1,"Haemoproteus",2,"R_PM"
"76","NEOFAS03","Aeroporto_de_BSB",1,5,1,2,1,1,"Haemoproteus",2,"PM"
"77","NYSMAC03","Bra1",1,5,1,1,1,1,"Haemoproteus",2,"R_PM"
"78","PADOM09","CLBI-Parnamirim/RN",1,5,2,4,1,1,"Plasmodium",3,"R_PM_M"
"79","PADOM09","Sta1",1,5,1,1,1,1,"Plasmodium",3,"R_PM_M"
"80","PAPOL01","Podocarpus_NP",1,5,2,5,1,1,"Haemoproteus",2,"R_PM"
"81","SGS1","Hu<cc><c1>nuco",1,5,1,5,1,1,"Plasmodium",1,"R"
"82","SocH2","ESEC-Serra_Negra_do_Norte/RN",1,5,1,3,1,1,"Haemoproteus",1,"R"
"83","TANCHI01","Hual5",1,5,1,3,1,1,"Haemoproteus",1,"R"
"84","TANSCH01","Hual3",1,5,1,2,1,1,"Haemoproteus",1,"R"
"85","THAMB02","Caratinga",1,5,1,1,1,1,"Plasmodium",1,"R"
"86","THASAT06","RondIL",1,5,1,3,1,1,"Plasmodium",1,"R"
"87","ZOCAP08","Esp1",1,5,1,4,1,1,"Haemoproteus",1,"R"
"88","AUTPAR01","Tap2",1,4,1,3,1,1,"Plasmodium",1,"R"
"89","BAEBIC02","Pereira",1,4,1,4,1,1,"Plasmodium",2,"R_M"
"90","COLPAS03","Bel1",1,4,1,2,1,1,"Haemoproteus",1,"R"
"91","COLPAS04","Cha1",1,4,1,1,1,1,"Haemoproteus",2,"R_PM"
"92","COPIL01","Salto_da_Divisa",1,4,1,2,1,1,"Plasmodium",1,"R"
"93","CORPIL01","Aiu1",1,4,1,2,1,1,"Plasmodium",1,"R"
"94","CORPIL01","ESEC-Serra_Negra_do_Norte/RN",1,4,1,1,1,1,"Plasmodium",1,"R"
"95","COTAL01","CLBI-Parnamirim/RN",1,4,2,4,1,1,"Haemoproteus",2,"R_M"
"96","CYCYA01","Ime1",1,4,1,4,1,1,"Plasmodium",1,"R"
"97","CYCYA01","Rond1",1,4,1,3,1,1,"Plasmodium",1,"R"
"98","DENPET03","Brasilandia_de_Minas",1,4,1,4,1,1,"Plasmodium",3,"R_PM_M"
"99","DENPET03","Pan1",1,4,1,2,1,1,"Plasmodium",3,"R_PM_M"
"100","DENPET03","Parque_Nacional_de_Brasí_lia",1,4,1,2,1,1,"Plasmodium",3,"R_PM_M"
"101","DIGCYA03","Guandera",1,4,1,1,1,1,"Haemoproteus",1,"R"
"102","LECOR04","Mata_Seca",1,4,1,1,1,1,"Plasmodium",1,"R"
"103","LEPCOR03","Rond5",1,4,2,3,1,1,"Haemoproteus",2,"R_PM"
"104","LEPCOR03","Wisui",1,4,1,4,1,1,"Haemoproteus",2,"R_PM"
"105","MACPYR01","Rond5",1,4,1,4,1,1,"Plasmodium",1,"R"
"106","MYITYR01","Brasilandia_de_Minas",1,4,1,1,1,1,"Plasmodium",2,"R_PM"
"107","MYRMYO01","Rond1",1,4,1,3,1,1,"Plasmodium",1,"R"
"108","MYRMYO01","Wisui",1,4,1,4,1,1,"Plasmodium",1,"R"
"109","NYSMAC01","Bra1",1,4,1,2,1,1,"Haemoproteus",1,"R"
"110","PADOM09","Esp1",1,4,3,4,1,1,"Plasmodium",3,"R_PM_M"
"111","PADOM09","Jequitinhonha",1,4,2,2,1,1,"Plasmodium",3,"R_PM_M"
"112","PADOM09","Mata_Seca",1,4,2,4,1,1,"Plasmodium",3,"R_PM_M"
"113","PAMIT01","CLBI-Parnamirim/RN",1,4,2,4,1,1,"Plasmodium",2,"R_PM"
"114","PAPOL01","Salto_da_Divisa",1,4,2,4,1,1,"Haemoproteus",2,"R_PM"
"115","PHAMAL01","Loreto",1,4,1,3,1,1,"Haemoproteus",1,"R"
"116","PHLNIG03","Rond1",1,4,1,2,1,1,"Plasmodium",1,"R"
"117","Plasmodiumnucleophilum","Mata_Seca",1,4,1,4,1,1,"Plasmodium",1,"R"
"118","TACRUB01","Ina2",1,4,1,1,1,1,"Plasmodium",1,"R"
"119","THAMB03","Salto_da_Divisa",1,4,1,1,1,1,"Plasmodium",1,"R"
"120","THAMUR01","Ina2",1,4,1,3,1,1,"Plasmodium",1,"R"
"121","THASAT01","Rond1",1,4,1,4,1,1,"Plasmodium",1,"R"
"122","THASAT06","Rond1",1,4,1,4,1,1,"Plasmodium",1,"R"
"123","THCAE01","Bocaiuva",1,4,1,2,1,1,"Plasmodium",1,"R"
"124","TRMUS01","Hual5",1,4,1,1,1,1,"Haemoproteus",1,"R"
"125","TROAED15","Chaucha",1,4,1,2,1,1,"Haemoproteus",2,"R_M"
"126","TROAED15","Podocarpus_NP",1,4,1,4,1,1,"Haemoproteus",2,"R_M"
"127","TROAED20","Hual4",1,4,1,3,1,1,"Haemoproteus",2,"R_M"
"128","TUMIG03","Felixlandia",1,4,1,1,1,1,"Plasmodium",3,"R_PM_M"
"129","TUMIG03","Sfr1",1,4,2,3,1,1,"Plasmodium",3,"R_PM_M"
"130","TURALB01","Sfr1",1,4,2,2,1,1,"Plasmodium",2,"R_M"
"131","VOLJAC03","Bra1",1,4,1,1,1,1,"Plasmodium",1,"R"
"132","AUTPAR01","Rond1",1,3,1,3,1,1,"Plasmodium",1,"R"
"133","BAEBIC02","Ucumari_NP,_La_Pastora",1,3,1,3,1,1,"Plasmodium",2,"R_M"
"134","BAFLA01","Jequitinhonha",1,3,1,2,1,1,"Plasmodium",1,"R"
"135","BAFLA02","ESEC-Serra_Negra_do_Norte/RN",1,3,1,1,1,1,"Haemoproteus",2,"R_PM"
"136","BAFLA03","Bocaiuva",1,3,1,2,1,1,"Plasmodium",3,"R_PM_M"
"137","BAFLA03","ESEC-Serra_Negra_do_Norte/RN",1,3,2,3,1,1,"Plasmodium",3,"R_PM_M"
"138","BAFLA03","Jequitinhonha",1,3,1,1,1,1,"Plasmodium",3,"R_PM_M"
"139","BAFLA04","Felixlandia",1,3,1,1,1,1,"Plasmodium",1,"R"
"140","BAFLA04","Mil1",1,3,1,2,1,1,"Plasmodium",1,"R"
"141","BAHYP01","Brasilandia_de_Minas",1,3,1,1,1,1,"Plasmodium",1,"R"
"142","CAOBS01","Brasilandia_de_Minas",1,3,1,2,1,1,"Plasmodium",1,"R"
"143","CATUST05","Anco_Cahua",1,3,1,1,1,1,"Plasmodium",2,"R_M"
"144","CATUST06","Hual3",1,3,1,2,1,1,"Plasmodium",1,"R"
"145","COLIN05","Manga",1,3,1,1,1,1,"Plasmodium",1,"R"
"146","COLIN16","Jequitinhonha",1,3,1,2,1,1,"Plasmodium",1,"R"
"147","COPIC01","Mata_Seca",1,3,1,2,1,1,"Haemoproteus",1,"R"
"148","COTAL01","Salto_da_Divisa",1,3,2,2,1,1,"Haemoproteus",2,"R_M"
"149","CYCYAN01","Hual3",1,3,1,3,1,1,"Haemoproteus",1,"R"
"150","DENPET03","Taiama",1,3,1,1,1,1,"Plasmodium",3,"R_PM_M"
"151","DETUR01","Rond1",1,3,1,3,1,1,"Plasmodium",1,"R"
"152","DETUR01","Sooretama",1,3,1,1,1,1,"Plasmodium",1,"R"
"153","DIGCYA01","Cerro_Bosco",1,3,1,1,1,1,"Haemoproteus",1,"R"
"154","DIGLAF01","Bosque_Palacio",1,3,1,3,1,1,"Plasmodium",1,"R"
"155","DIGLAF01","Hual3",1,3,1,3,1,1,"Plasmodium",1,"R"
"156","ELALB01","Jequitinhonha",1,3,1,1,1,1,"Haemoproteus",3,"R_PM_M"
"157","FORCOL06","Ina3",1,3,1,1,1,1,"Plasmodium",1,"R"
"158","FORCOL07","Gui2",1,3,1,1,1,1,"Plasmodium",1,"R"
"159","FURLEU01","Esp1",1,3,1,2,1,1,"Plasmodium",1,"R"
