"","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount"
"AFR025",1,3,66.8879340231092,42.7504228994108,66.8254508140858,58.9774353447936,-5.216667,-4.683333,22.3399777930928,-56.916667,-56.633333,2
"ARAJAN01",1,3,2106.50036487022,214067.764144721,1964.51298263654,1916.79193127615,-6.583333,10.75,438.827645934111,-79.233333,-73.666667,2
"ARBRU01",1,5,4503.08220200835,2405206.63817038,3049.14529897509,3045.37384674072,-29.466667,-1.95,1145.67578104146,-64.716667,-50.166667,4
"AUTOCH02",1,7,3487.05506428886,1466800.33258768,2079.71376385876,1755.26507099931,-19.566667,-3.7,1296.1284156813,-63.217,-46.75,5
"AUTPAR01",7,8,2515.51415938678,714722.648344828,2092.62110222637,2074.69480523879,-14.06,4.7,556.810700013526,-79.233333,-72.169166,3
"AUTRUF01",1,2,453.898959749481,0,453.898959749481,369.08907972579,-19.5907472,-16.2559998,196.631813169808,-43.5049448,-41.011001,1
"BAEBIC02",10,4,3520.69892957151,801905.597106936,3392.59742031377,2641.34884915105,-30.205564,-6.344364,1599.76160360552,-57.495736,-37.152527,4
"BAFLA01",2,11,3639.36442035225,1341433.28268975,2474.41636915775,1539.9908715051,-19.4724319,-5.5524107,1590.40301539803,-55.327475,-35.103905,6
"BAFLA02",4,10,3752.44807149858,1448717.2484012,2513.75247678587,1427.11100634205,-18.4526633,-5.5524107,1632.57345955239,-55.866667,-35.103905,7
"BAFLA04",10,4,787.416612078781,86547.5782624247,456.522668524637,436.409654210947,-18.4526633,-14.50911,312.128687663786,-47.552045,-43.59298,3
"BAFLA05",1,2,317.760256248632,0,317.760256248632,311.45350456215,-2.883333,-0.066667,44.6797296050078,-79.433333,-78.866667,1
"CALON01",1,2,90.0781210742265,0,90.0781210742265,62.6631745781146,-5.066667,-4.5,45.9938615328579,-56.85,-56.266667,2
"CANLEU03",1,4,556.622612320882,18018.8039920921,543.856528997833,489.630042817463,-19.5907472,-15.166667,175.695819616139,-45.733333,-43.5049448,2
"CANLEU04",1,2,616.390613397339,0,616.390613397339,316.208914017295,-18.4526633,-15.5954324,391.817204775924,-44.5356927,-39.5655673,2
"CARUF01",2,3,2741.23206800944,745544.544893824,2465.30350808222,2433.58960052186,-17.32,4.683333,575.570864772385,-77.55,-70.247667,3
"CASFUS01",1,3,269.160790519295,160.542043154577,269.119384976949,178.780921891542,-6.716667,-5.1,143.235364377758,-79.233333,-77.416667,1
"CATUST21",1,2,1469.34018118844,0,1469.34018118844,278.331088560162,-9.1,-6.583333,1030.45622454568,-77.55,-64.466667,2
"CERCIN03",1,2,535.559375424534,0,535.559375424534,488.162639354764,-4.998,-0.583333,156.244277010355,-64.916667,-62.935,1
"CHLAME01",1,2,2470.57500255886,0,2470.57500255886,2278.94246865658,-9.916667,10.691167,679.076403025138,-76.233333,-67.616667,2
"COHEL01",1,2,72.4556990806977,0,72.4556990806977,13.0973303984932,-19.5907472,-19.4724319,53.5389574627446,-43.5049448,-42.825918,1
"COLBUC01",1,5,1065.81216804613,141344.50590013,667.383833382247,568.815334904211,-19.5907472,-14.4510092,271.400053937854,-43.5630135,-40.1206373,2
"COLIN11",1,2,453.894159086807,0,453.894159086807,369.08907972579,-19.5907472,-16.2559998,196.631813169808,-43.5049448,-41.011001,1
"COLIV03",1,2,1088.64829546276,0,1088.64829546276,16.5976621955344,-15.316667,-15.166667,798.459938389694,-55.866667,-45.733333,2
"COLIV06",1,3,2646.24168862666,808937.711814769,1627.63489983876,1544.75331986685,-15.316667,-1.35,757.798194433504,-56.366667,-46.75,3
"COLL4",2,6,5357.8834645386,3241970.86962815,3083.52256593067,2099.89395124244,-19.566667,-0.583333,1969.1040252978,-64.916667,-39.841985,5
"COLPAS04",6,4,3696.80560051221,528057.818625291,3592.2639517979,2638.20125109338,-36.716667,-12.90198,1919.75843710311,-64.283333,-39.841985,4
"COLPAS06",1,3,3828.84269735449,4553.40112086711,3828.84253907638,2533.01515593267,-29.466667,-6.583333,2148.71118420568,-77.55,-50.166667,2
"COLTAL01",1,2,551.265726812305,0,551.265726812305,429.088779135666,-19.4724319,-15.5954324,257.050989862506,-42.825918,-39.5655673,2
"COMEL01",2,2,20.8462701975198,0,20.8462701975198,14.7453003064312,-6.716667,-6.583333,10.5128838774862,-77.55,-77.416667,1
"CONAUR01",1,2,1145.40558673187,0,1145.40558673187,903.122231280723,-14.50911,-6.344364,507.675587401579,-43.59298,-37.152527,2
"CONCAS01",2,4,1006.59256027843,111796.281185215,647.122171618034,348.419417058375,-17.657674,-14.50911,470.239789853452,-45.5308804,-39.5655673,4
"COQUI05",1,3,342.846481459307,3852.74397510582,329.097341269517,28.2703750804206,-6.6,-6.344364,233.700024758276,-40.116667,-37.152527,2
"CORPIL01",3,2,27.6339539793355,0,27.6339539793355,24.5841165351042,-6.566667,-6.344364,8.99957701353893,-37.266667,-37.152527,1
"CORPIL11",1,4,691.126229318221,54652.9604060603,454.842875279761,442.838143573694,-18.4526633,-14.4510092,161.352920746879,-45.5308804,-43.4844164,3
"COSQU03",1,4,1668.5346621475,274651.841327433,1358.54785425826,1110.90209251636,-15.5954324,-5.5524107,669.03029041582,-43.59298,-35.103905,3
"CPCT57",1,3,6942.85585122026,1711977.0507255,6720.56466961574,528.920292008806,-3.866667,0.916667,4641.76579428393,-89.667117,-29.333333,3
"CYACYA04",1,9,4570.90545631523,2073913.39911187,3083.54957529377,1362.3652006261,-12.90198,-0.583333,1969.1040252978,-64.916667,-39.841985,6
"CYCGUJ01",1,2,2350.45221247528,0,2350.45221247528,962.274228996499,-13.8,-5.1,1537.69761254748,-79.233333,-59.683333,2
"CYCYAN01",2,2,199.250910867455,0,199.250910867455,40.5723755055898,-15.533333,-15.166667,143.235443219638,-47.55,-45.733333,1
"CYPHIR03",2,2,1135.44031796898,0,1135.44031796898,930.68970605928,-2.733333,5.683333,461.153763037544,-71.083333,-65.233333,2
"DENAUT01",2,4,2409.58691089394,533459.688706674,2057.23848595953,1211.24617340981,-12.90198,-1.95,1321.56675311722,-56.633333,-39.841985,3
"DENCER01",1,2,48.7304956194363,0,48.7304956194363,42.3899565432992,-5.066667,-4.683333,17.0835021297505,-56.85,-56.633333,2
"DENFUL01",2,2,85.7280723949452,0,85.7280723949452,79.8416316064087,-5.72,-4.998,22.2347962750813,-63.217,-62.935,2
"DENFUL02",1,2,1629.43793700784,0,1629.43793700784,790.689779230625,-9.1,-1.95,1013.42775840875,-64.466667,-51.6,2
"DENMER01",2,26,10077.4145909482,6619921.97999118,3599.54445668525,3127.28035238576,-30.205564,-1.95,2361.75708580795,-65.233333,-35.103905,14
"DENMER02",2,2,2460.36891672565,0,2460.36891672565,2401.05665654734,-23.651383,-1.95,392.637424148398,-51.6,-46.619467,2
