"","Especie","Status","n_bird_individuals"
"1","Accipiter_striatus","R",1
"2","Accipiter_superciliosus","R",2
"3","Adelomyia_melanogenys","R",5
"4","Agelaioides_badius","R",15
"5","Agelasticus_cyanopus","R",1
"6","Aglaiocercus_kingi","R",2
"7","Amaurospiza_moesta","R",1
"8","Amazilia_fimbriata","R",7
"9","Amazilia_versicolor","R",4
"10","Amazona_mercenaria","R",1
"11","Amazonetta_brasiliensis","R",2
"12","Amblycercus_holosericeus","R",3
"13","Ammodramus_humeralis","R",89
"14","Ampelion_rubrocristatus","R",3
"15","Ampelion_rufaxilla","R",2
"16","Anabacerthia_amaurotis","R",1
"17","Anabacerthia_striaticollis","R",9
"18","Anabazenops_fuscus","R",8
"19","Anhima_cornuta","R",1
"20","Anhinga_anhinga","R",1
"21","Anisognathus_lacrymosus","R",6
"22","Anisognathus_somptuosus","R",10
"23","Anthus_hellmayri","R",1
"24","Antilophia_galeata","R",13
"25","Anurolimnas_viridis","R",1
"26","Aramides_cajanea","R",2
"27","Aratinga_aurea","R",4
"28","Aratinga_cactorum","R",5
"29","Aratinga_jandaya","R",2
"30","Aratinga_leucophthalma","R",5
"31","Aratinga_pertinax","R",1
"32","Ardea_cocoi","R",1
"33","Arremon_aurantiirostris","R",10
"34","Arremon_brunneinucha","R",13
"35","Arremon_flavirostris","R",4
"36","Arremon_taciturnus","R",12
"37","Arremon_torquatus","R",5
"38","Arundinicola_leucocephala","R",2
"39","Asthenes_baeri","R",13
"40","Athene_cunicularia","R",2
"41","Atlapetes_rufinucha","R",4
"42","Attila_cinnamomeus","R",2
"43","Attila_phoenicurus","M",4
"44","Attila_spadiceus","R",16
"45","Aulacorhynchus_prasinus","R",8
"46","Automolus_infuscatus","R",29
"47","Automolus_leucophthalmus","R",7
"48","Automolus_ochrolaemus","R",14
"49","Automolus_rubiginosus","R",1
"50","Automolus_rufipileatus","R",5
"51","Avocettula_recurvirostris","R",1
"52","Baryphthengus_martii","R",1
"53","Basileuterus_coronatus","R",16
"54","Basileuterus_culicivorus","R",36
"55","Basileuterus_flaveolus","R",112
"56","Basileuterus_hypoleucus","R",24
"57","Basileuterus_leucoblepharus","R",35
"58","Basileuterus_leucomelas","R",1
"59","Basileuterus_leucophrys","R",1
"60","Basileuterus_luteoviridis","R",6
"61","Basileuterus_tristriatus","R",13
"62","Boissonneaua_matthewsii","R",1
"63","Brachygalba_lugubris","R",4
"64","Brotogeris_chiriri","R",6
"65","Bucco_capensis","R",5
"66","Bucco_tamatia","R",4
"67","Busarellus_nigricollis","R",1
"68","Buteo_magnirostris","R",2
"69","Butorides_striata","R",2
"70","Cacicus_cela","R",1
"71","Cacicus_solitarius","R",6
"72","Cacicus_uropygialis","R",6
"73","Calliphlox_amethystina","R",1
"74","Campephilus_melanoleucos","R",1
"75","Campephilus_rubricollis","R",7
"76","Camptostoma_obsoletum","R",80
"77","Campylopterus_largipennis","R",2
"78","Campylorhamphus_falcularius","R",3
"79","Campylorhamphus_procurvoides","R",3
"80","Campylorhamphus_pusillus","R",5
"81","Campylorhamphus_trochilirostris","R",7
"82","Campylorhynchus_turdinus","R",4
"83","Cantorchilus_leucotis","R",1
"84","Cantorchilus_longirostris","R",34
"85","Caprimulgus_maculicaudus","R",3
"86","Caprimulgus_parvulus","R",3
"87","Caprimulgus_sericocaudatus","R",1
"88","Capsiempis_flaveola","R",5
"89","Caracara_plancus","R",4
"90","Carduelis_magellanica","R",1
"91","Carduelis_olivacea","R",2
"92","Caryothraustes_canadensis","R",1
"93","Casiornis_fuscus","PM",29
"94","Casiornis_rufus","PM",13
"95","Casmerodius_albus","R",1
"96","Catamblyrhynchus_diadema","R",4
"97","Catamenia_homochroa","R",1
"98","Catharus_fuscater","R",2
"99","Catharus_fuscescens","M",3
"100","Celeus_elegans","R",6
"101","Celeus_flavescens","R",1
"102","Celeus_grammicus","R",1
"103","Celeus_undatus","R",3
"104","Cephalopterus_ornatus","R",2
"105","Cercomacra_cinerascens","R",5
"106","Cercomacra_melanaria","R",5
"107","Cercomacra_nigrescens","R",9
"108","Cercomacra_serva","R",2
"109","Certhiaxis_cinnamomeus","R",2
"110","Chamaeza_campanisona","R",2
"111","Charitospiza_eucosma","R",4
"112","Chiroxiphia_caudata","R",18
"113","Chiroxiphia_pareola","R",15
"114","Chlorestes_notata","R",1
"115","Chloroceryle_aenea","R",23
"116","Chloroceryle_amazona","R",2
"117","Chloroceryle_americana","R",5
"118","Chloroceryle_inda","R",5
"119","Chlorochrysa_calliparaea","R",1
"120","Chlorophanes_spiza","R",23
"121","Chlorophonia_cyanea","R",4
"122","Chlorornis_riefferii","SI",7
"123","Chlorospingus_ophthalmicus","R",3
"124","Chlorospingus_parvirostris","R",1
"125","Chlorostilbon_mellisugus","R",1
"126","Chordeiles_pusillus","R",1
"127","Chrysuronia_oenone","R",5
"128","Cinclus_leucocephalus","R",2
"129","Cinnycerthia_peruana","R",6
"130","Claravis_pretiosa","R",6
"131","Cnemoscopus_rubrirostris","R",2
"132","Cnemotriccus_fuscatus","R",106
"133","Cnipodectes_subbrunneus","R",4
"134","Coccycua_cinerea","R",2
"135","Coccycua_minuta","R",2
"136","Coccyzus_melacoryphus","M",25
"137","Cochlearius_cochlearius","R",1
"138","Coeligena_coeligena","R",15
"139","Coeligena_torquata","R",6
"140","Coeligena_violifer","R",1
"141","Coereba_flaveola","R",218
"142","Colaptes_campestris","R",5
"143","Colaptes_melanochloros","R",7
"144","Colaptes_rivolii","R",1
"145","Colaptes_rubiginosus","R",2
