"","Lineage_Name","site","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"1","TARUF02","CLBI-Parnamirim/RN",1,79,3,29,1,1
"2","SocH3","ESEC-Serra_Negra_do_Norte/RN",1,69,2,3,1,1
"3","TROAED20","Podocarpus_NP",1,36,1,36,1,1
"4","NEOFAS03","Bra1",1,25,2,5,1,1
"5","NEOFAS01","Gra1",1,23,1,4,1,1
"6","BAFLA03","Mata_Seca",1,21,2,8,1,1
"7","EMPALN02","Esp1",1,19,3,10,1,1
"8","PADOM09","Bra1",1,17,2,6,1,1
"9","COPIC01","ESEC-Serra_Negra_do_Norte/RN",1,16,1,2,1,1
"10","PADOM11","ESEC-Serra_Negra_do_Norte/RN",1,16,2,6,1,1
"11","THAMB02","Salto_da_Divisa",1,16,1,1,1,1
"12","PHPAT01","ESEC-Serra_Negra_do_Norte/RN",1,14,3,9,1,1
"13","BAFLA04","CLBI-Parnamirim/RN",1,11,1,7,1,1
"14","GLYSPI06","Rond5",1,11,2,5,1,1
"15","PADOM09","ESEC-Serra_Negra_do_Norte/RN",1,11,2,8,1,1
"16","CYPHIR03","Bra1",1,10,1,1,1,1
"17","GEOTRI02","Hual4",1,10,1,7,1,1
"18","THAMAE01","Rond1",1,10,1,7,1,1
"19","CORPIL01","Ser1",1,9,1,2,1,1
"20","ELALB01","Salto_da_Divisa",1,9,2,5,1,1
"21","MYISWA01","Bra1",1,9,2,5,1,1
"22","NYSCHA01","Bra1",1,9,1,1,1,1
"23","PYLEU01","Caratinga",1,9,1,2,1,1
"24","UN203","CLBI-Parnamirim/RN",1,9,2,5,1,1
"25","COLPAS03","Gui2",1,8,1,1,1,1
"26","CYCYA01","Gui2",1,8,1,3,1,1
"27","DENPET03","Bra1",1,8,1,3,1,1
"28","MOLBAD01","Esp1",1,8,2,4,1,1
"29","PAPOL03","ESEC-Serra_Negra_do_Norte/RN",1,8,3,4,1,1
"30","TROAED15","Sural",1,8,1,1,1,1
"31","COLIN05","Nova_Lima",1,7,1,3,1,1
"32","DENPET03","Felixlandia",1,7,2,3,1,1
"33","PADOM09","Felixlandia",1,7,2,3,1,1
"34","SUISUI01","Bra1",1,7,2,2,1,1
"35","TACRUB01","Rond4",1,7,1,1,1,1
"36","TROAED15","Bellavista",1,7,1,3,1,1
"37","TROAED15","Mindo",1,7,1,3,1,1
"38","ANIFLA01","Hual4",1,6,1,2,1,1
"39","BAFLA03","Caratinga",1,6,1,4,1,1
"40","BAFLA04","Mata_Seca",1,6,1,3,1,1
"41","COLIN05","Caratinga",1,6,1,2,1,1
"42","COLPAS04","Gui2",1,6,1,4,1,1
"43","COLPLU01","Hual5",1,6,2,6,1,1
"44","DENPET03","CLBI-Parnamirim/RN",1,6,2,4,1,1
"45","DENPET03","Gra1",1,6,1,4,1,1
"46","LEAMA01","Caratinga",1,6,1,1,1,1
"47","LECOR04","ESEC-Serra_Negra_do_Norte/RN",1,6,1,2,1,1
"48","MYRMAX01","Ina1",1,6,1,6,1,1
"49","MYSWA01","Salto_da_Divisa",1,6,1,2,1,1
"50","PACPEC02","Felixlandia",1,6,1,2,1,1
"51","PADOM09","Mil1",1,6,3,6,1,1
"52","PADOM11","Mata_Seca",1,6,1,4,1,1
"53","Plasmodiumjuxtanucleare","Chapada_dos_Guimaraes",1,6,2,5,1,1
"54","SocH3","CLBI-Parnamirim/RN",1,6,1,5,1,1
"55","SUISUI02","Bra1",1,6,2,3,1,1
"56","TANCYA01","Hual5",1,6,1,4,1,1
"57","TANIG01","Hual3",1,6,1,2,1,1
"58","THAMB01","Jequitinhonha",1,6,1,1,1,1
"59","TOFLA01","Jequitinhonha",1,6,1,1,1,1
"60","TULEU01","Felixlandia",1,6,2,2,1,1
"61","TULEU06","Fazenda_St._Maria",1,6,1,1,1,1
"62","VIOLI01","Aracruz",1,6,1,1,1,1
"63","WILPOE15","Bel1",1,6,1,4,1,1
"64","BAEBIC02","Hual4",1,5,1,4,1,1
"65","CARUF01","Felixlandia",1,5,1,1,1,1
"66","COLIN01","Nova_Lima",1,5,1,1,1,1
"67","COLIN11","Nova_Lima",1,5,1,1,1,1
"68","DENCER02","Rond1",1,5,1,4,1,1
"69","DENCER02","Xing1",1,5,1,3,1,1
"70","DENPET03","Esp1",1,5,1,4,1,1
"71","DENPET03","Mil1",1,5,1,5,1,1
"72","GALLUS01","Brasilandia_de_Minas",1,5,1,2,1,1
"73","Haemoproteuserythrogravidus","Fazenda_St._Maria",1,5,2,2,1,1
"74","LEVER03","ESEC-Serra_Negra_do_Norte/RN",1,5,1,2,1,1
"75","MYISWA01","Mil1",1,5,2,5,1,1
"76","NEOFAS03","Aeroporto_de_BSB",1,5,1,2,1,1
"77","NYSMAC03","Bra1",1,5,1,1,1,1
"78","PADOM09","CLBI-Parnamirim/RN",1,5,2,4,1,1
"79","PADOM09","Sta1",1,5,1,1,1,1
"80","PAPOL01","Podocarpus_NP",1,5,2,5,1,1
"81","SGS1","Hu<cc><c1>nuco",1,5,1,5,1,1
"82","SocH2","ESEC-Serra_Negra_do_Norte/RN",1,5,1,3,1,1
"83","TANCHI01","Hual5",1,5,1,3,1,1
"84","TANSCH01","Hual3",1,5,1,2,1,1
"85","THAMB02","Caratinga",1,5,1,1,1,1
"86","THASAT06","RondIL",1,5,1,3,1,1
"87","ZOCAP08","Esp1",1,5,1,4,1,1
"88","AUTPAR01","Tap2",1,4,1,3,1,1
"89","BAEBIC02","Pereira",1,4,1,4,1,1
"90","COLPAS03","Bel1",1,4,1,2,1,1
"91","COLPAS04","Cha1",1,4,1,1,1,1
"92","COPIL01","Salto_da_Divisa",1,4,1,2,1,1
"93","CORPIL01","Aiu1",1,4,1,2,1,1
"94","CORPIL01","ESEC-Serra_Negra_do_Norte/RN",1,4,1,1,1,1
"95","COTAL01","CLBI-Parnamirim/RN",1,4,2,4,1,1
